xVariable,yVariable,marginalTaxRate,classification,xAxisLabel,yStart,countA,,,
77500,56570,0.4,0910,,,1,,,
78000,56870,0.4,0910,,,1,,,
78500,57170,0.4,0910,,,1,,,
79000,57470,0.4,0910,,,1,,,
79500,57770,0.4,0910,,,1,,,
80000,58070,0.4,0910,,,1,,,
80500,58370,0.4,0910,,,1,,,
81000,58670,0.4,0910,,,1,,,
81500,58970,0.4,0910,,,1,,,
82000,59270,0.4,0910,,,1,,,
82500,59570,0.4,0910,,,1,,,
83000,59870,0.4,0910,,,1,,,
83500,60170,0.4,0910,,,1,,,
84000,60470,0.4,0910,,,1,,,
84500,60770,0.4,0910,,,1,,,
85000,61070,0.4,0910,,,1,,,
85500,61370,0.4,0910,,,1,,,
86000,61670,0.4,0910,,,1,,,
86500,61970,0.4,0910,,,1,,,
87000,62270,0.4,0910,,,1,,,
87500,62570,0.4,0910,,,1,,,
88000,62870,0.4,0910,,,1,,,
88500,63170,0.4,0910,,,1,,,
89000,63470,0.4,0910,,,1,,,
