xVariable,yVariable,classification,xAxisLabel,yStart,marginalTaxRate,countA
53000,44300,Labour,,,0.4,1
53500,44600,Labour,,,0.4,1
54000,44900,Labour,,,0.4,1
54500,45200,Labour,,,0.4,1
55000,45500,Labour,,,0.4,1
55500,45800,Labour,,,0.4,1
56000,46100,Labour,,,0.4,1
56500,46400,Labour,,,0.4,1
57000,46700,Labour,,,0.4,1
57500,47000,Labour,,,0.4,1
58000,47300,Labour,,,0.4,1
58500,47600,Labour,,,0.4,1
59000,47900,Labour,,,0.4,1
59500,48200,Labour,,,0.4,1
60000,48500,Labour,,,0.4,1
60500,48800,Labour,,,0.4,1
61000,49100,Labour,,,0.4,1
61500,49400,Labour,,,0.4,1
62000,49700,Labour,,,0.4,1
62500,50000,Labour,,,0.4,1
63000,50300,Labour,,,0.4,1
63500,50600,Labour,,,0.4,1
64000,50900,Labour,,,0.4,1
64500,51200,Labour,,,0.4,1
65000,51500,Labour,,,0.4,1
65500,51800,Labour,,,0.4,1
66000,52100,Labour,,,0.4,1
66500,52400,Labour,,,0.4,1
67000,52700,Labour,,,0.4,1
67500,53000,Labour,,,0.4,1
68000,53300,Labour,,,0.4,1
68500,53600,Labour,,,0.4,1
69000,53900,Labour,,,0.4,1
69500,54200,Labour,,,0.4,1
70000,54500,Labour,,,0.4,1
70500,54800,Labour,,,0.4,1
71000,55100,Labour,,,0.4,1
71500,55400,Labour,,,0.4,1
72000,55700,Labour,,,0.4,1
72500,56000,Labour,,,0.4,1
73000,56300,Labour,,,0.4,1
73500,56600,Labour,,,0.4,1
74000,56900,Labour,,,0.4,1
74500,57200,Labour,,,0.4,1
75000,57500,Labour,,,0.4,1
75500,57800,Labour,,,0.4,1
76000,58100,Labour,,,0.4,1
76500,58400,Labour,,,0.4,1
77000,58700,Labour,,,0.4,1
77500,59000,Labour,,,0.4,1
78000,59300,Labour,,,0.4,1
78500,59600,Labour,,,0.4,1
79000,59900,Labour,,,0.4,1
79500,60200,Labour,,,0.4,1
80000,60500,Labour,,,0.4,1
80000,60500,Labour,,,0.45,2
80500,60775,Labour,,,0.45,1
81000,61050,Labour,,,0.45,1
81500,61325,Labour,,,0.45,1
82000,61600,Labour,,,0.45,1
82500,61875,Labour,,,0.45,1
83000,62150,Labour,,,0.45,1
83500,62425,Labour,,,0.45,1
84000,62700,Labour,,,0.45,1
84500,62975,Labour,,,0.45,1
85000,63250,Labour,,,0.45,1
85500,63525,Labour,,,0.45,1
86000,63800,Labour,,,0.45,1
86500,64075,Labour,,,0.45,1
87000,64350,Labour,,,0.45,1
87500,64625,Labour,,,0.45,1
88000,64900,Labour,,,0.45,1
88500,65175,Labour,,,0.45,1
89000,65450,Labour,,,0.45,1
89500,65725,Labour,,,0.45,1
90000,66000,Labour,,,0.45,1
90500,66275,Labour,,,0.45,1
91000,66550,Labour,,,0.45,1
91500,66825,Labour,,,0.45,1
92000,67100,Labour,,,0.45,1
92500,67375,Labour,,,0.45,1
93000,67650,Labour,,,0.45,1
93500,67925,Labour,,,0.45,1
94000,68200,Labour,,,0.45,1
94500,68475,Labour,,,0.45,1
95000,68750,Labour,,,0.45,1
95500,69025,Labour,,,0.45,1
96000,69300,Labour,,,0.45,1
96500,69575,Labour,,,0.45,1
97000,69850,Labour,,,0.45,1
97500,70125,Labour,,,0.45,1
98000,70400,Labour,,,0.45,1
98500,70675,Labour,,,0.45,1
99000,70950,Labour,,,0.45,1
99500,71225,Labour,,,0.45,1
100000,71500,Labour,,,0.45,1
100000,71500,Labour,,,0.675,2
100500,71662.5,Labour,,,0.675,1
101000,71825,Labour,,,0.675,1
101500,71987.5,Labour,,,0.675,1
102000,72150,Labour,,,0.675,1
102500,72312.5,Labour,,,0.675,1
103000,72475,Labour,,,0.675,1
103500,72637.5,Labour,,,0.675,1
104000,72800,Labour,,,0.675,1
104500,72962.5,Labour,,,0.675,1
105000,73125,Labour,,,0.675,1
105500,73287.5,Labour,,,0.675,1
106000,73450,Labour,,,0.675,1
106500,73612.5,Labour,,,0.675,1
107000,73775,Labour,,,0.675,1
107500,73937.5,Labour,,,0.675,1
108000,74100,Labour,,,0.675,1
108500,74262.5,Labour,,,0.675,1
109000,74425,Labour,,,0.675,1
109500,74587.5,Labour,,,0.675,1
110000,74750,Labour,,,0.675,1
110500,74912.5,Labour,,,0.675,1
111000,75075,Labour,,,0.675,1
111500,75237.5,Labour,,,0.675,1
112000,75400,Labour,,,0.675,1
112500,75562.5,Labour,,,0.675,1
113000,75725,Labour,,,0.675,1
113500,75887.5,Labour,,,0.675,1
114000,76050,Labour,,,0.675,1
